FORMULARIO;ID_000;ID_003;ID_004;ID_005;ID_006;ID_008_HH;ID_008_MM;ID_008_A;A_003;A_004;A_005;A_006;A_007;A_008;Municipio;Comuna;Estrato;F_EXP
1;9147;5;1;01-02-3384;3/5/2017 0:00:00;5;25;p. m.;1;1;2;1;10;9;Pereira;Rio Otun;2;23,62
4;9147;5;1;01-02-3384;3/5/2017 0:00:00;4;50;p. m.;1;2;2;1;2;2;Pereira;Rio Otun;2;128,31
6;9147;5;2;01-02-3341;4/5/2017 0:00:00;5;25;p. m.;2;3;2;3;2;2;Pereira;Rio Otun;2;384,12
8;9147;5;5;01-02-3274;5/5/2017 0:00:00;2;27;p. m.;1;1;2;1;2;2;Pereira;Rio Otun;2;56,84
9;2443;6;2;01-02-3269;5/5/2017 0:00:00;3;56;p. m.;1;3;3;1;3;3;Pereira;Rio Otun;3;100,65
10;9147;6;1;01-02-3368;5/5/2017 0:00:00;6;20;p. m.;1;1;3;1;3;3;Pereira;Rio Otun;3;52,06
12;9147;6;1;01-02-3368;5/5/2017 0:00:00;6;15;p. m.;1;2;3;1;7;6;Pereira;Rio Otun;3;86,08
14;9147;6;1;01-02-3368;6/5/2017 0:00:00;1;10;p. m.;1;3;3;1;3;3;Pereira;Rio Otun;3;52,06
16;2443;6;3;01-02-3438;6/5/2017 0:00:00;1;35;p. m.;1;1;3;2;4;4;Pereira;Rio Otun;3;66,88
18;9147;6;5;01-02-3369;6/5/2017 0:00:00;12;20;p. m.;1;3;3;1;4;3;Pereira;Rio Otun;3;520,00
20;9147;6;3;01-02-3438;9/5/2017 0:00:00;4;10;p. m.;1;1;3;1;2;2;Pereira;Rio Otun;3;47,35
21;9147;22;3;01-04-0598;3/5/2017 0:00:00;4;50;p. m.;1;1;4;1;5;5;Pereira;Centro;4;199,29
22;9147;22;4;01-04-0601;4/5/2017 0:00:00;3;11;p. m.;2;3;4;1;1;1;Pereira;Centro;4;83,84
23;9147;22;3;01-04-0598;4/5/2017 0:00:00;5;10;p. m.;2;3;4;1;3;3;Pereira;Centro;4;164,74
24;9147;13;5;01-02-0432;5/5/2017 0:00:00;3;45;p. m.;1;3;4;1;3;3;Pereira;Rio Otun;4;103,12
26;9147;13;3;01-02-0437;5/5/2017 0:00:00;2;56;p. m.;1;3;4;1;3;3;Pereira;Rio Otun;4;228,79
27;9147;13;5;01-02-0432;5/5/2017 0:00:00;3;40;p. m.;2;3;4;1;6;6;Pereira;Rio Otun;4;136,89
28;9147;25;2;01-04-0622;4/5/2017 0:00:00;3;20;p. m.;2;3;5;1;1;1;Pereira;Centro;5;16,76
29;9147;25;2;01-04-0622;4/5/2017 0:00:00;3;55;p. m.;1;3;5;1;5;5;Pereira;Centro;5;158,07
30;9147;60;1;01-08-1620;9/5/2017 0:00:00;4;48;p. m.;1;3;3;1;4;4;Pereira;Oriente;3;226,68
31;9147;25;2;01-04-0622;4/5/2017 0:00:00;3;15;p. m.;1;3;5;1;3;3;Pereira;Centro;5;44,36
