"FORMULARIO";"C_001_01";"C_001_02";"C_001_03";"C_001_04";"C_001_05";"C_001_06";"C_001_07";"C_001_08";"C_001_09";"C_001_10";"C_001_11";"C_001_12";"C_001_13";"C_001_77";"C_001_77_A";"C_001_77_B";"C_001_77_C";"C_001_PLACA";"C_001_88";"F_EXP"
"0001";;;;2;;;;;;;;;;;;;;2;0;23,62
"0004";;;;;;;;;;;;;;;;;;0;0;128,31
"0006";;;;;;;;;;;;1;;;;;;;0;384,12
"0008";;;;;;;;;;;;;;;;;;0;0;56,84
"0009";0;0;0;1;0;0;0;0;0;0;0;1;0;;;;;1;0;100,65
"0010";;;;2;;;;;;;;;;;;;;2;0;52,06
"0012";;;;;;;;;;;;;;;;;;0;0;86,08
"0014";;;;1;;;;;;;;;;;;;;1;0;52,06
"0016";1;0;0;1;0;0;0;0;0;0;0;0;0;;;;;2;0;66,88
"0018";;;;;;;;;;;;;;;;;;;0;520,00
"0020";1;;;;;;;;;;;;;;;;;1;0;47,35
"0021";;;;;;;;;;;;1;;;;;;0;0;199,29
"0022";1;;;;;;;;;;;;;;;;;1;0;83,84
"0023";;;;;;;;;;;;;;;;;;0;0;164,74
"0024";;;;;;;;;;;;;;;;;;0;0;103,12
"0026";;;;;;;;;;;;;;;;;;0;0;228,79
"0027";1;;;;;;;;;;;2;;;;;;1;0;136,89
"0028";;;;;;;;;;;;;;;;;;0;0;16,76
"0029";;;;;;;;;;;1;;;;;;;0;0;158,07
"0030";;;;;;;;;;;;;;;;;;0;0;226,68
"0031";;;;;;;;;;;;;;;;;;0;0;44,36
"0032";;;;;;;;;;;;1;;;;;;0;0;158,07
"0033";;;;1;;;;;;;;;;;;;;1;0;19,31
"0035";;;;;;;;;;;;;;;;;;0;0;9,77
"0036";;;;;;;;;;;;;;;;;;0;0;149,23
"0038";2;;;1;;;;;;;;;;;;;;3;0;38,88
"0039";;;;1;;;;;;;;;;;;;;1;0;238,83
"0040";;;;1;;;;;;;;1;;;;;;1;0;32,48
"0041";;;;;;;;;;;;;;;;;;0;0;51,97
"0042";;;;1;;;;;;;;1;;;;;;1;0;16,59
"0043";0;1;0;2;0;1;0;0;0;0;0;3;0;;;;;4;0;71,65
"0046";;;;2;;;;;;;;;;;;;;2;0;174,87
"0047";1;;;1;;;;;;;;;;;;;;2;0;17,22
"0048";1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;58,71
"0049";;;;1;;;;;;;;;;;;;;1;0;24,06
"0051";1;;;;;;;;;;;;;;;;;1;0;29,76
"0053";;;;1;;;;;;;;;;;;;;1;0;58,71
"0054";;;;;;;;;;;;;;;;;;0;0;51,97
"0055";;;;;;;;;;;;;;;;;;0;0;17,22
"0056";;;;;;;;;;;;;;;;;;0;0;62,68
"0057";;;;;;;;;;;;1;;;;;;0;0;49,11
"0058";;;;1;;;;;;;;;;;;;;1;0;33,13
"0059";0;0;0;0;0;0;0;0;0;0;1;2;0;;;;;0;0;143,18
"0060";;;;;;;;;;;;;;;;;;0;0;25,18
"0061";1;;;;;;;;;;3;;;;;;;1;0;308,09
"0062";;;;;;;;;;;;;;;;;;;0;66,48
"0063";;;;;;;;;;;;;;;;;;0;0;300,52
