"FORMULARIO";"B_001";"B_003";"B_004";"B_005";"B_006";"B_007_A";"B_007_B";"B_007_C";"B_007_D";"B_008";"B_009_A";"B_009_B";"B_010_A";"B_010_B";"B_011";"B_012";"B_013";"B_014";"B_015";"F_EXP"
"0001";1;2;2;59;3;31;;;0;0,00;7;0;8;0;5;1;1;1;5;23,62
"0001";2;1;1;63;3;11;;;0;6,00;8;0;0;0;3;1;2;1;2;23,62
"0001";3;3;2;38;5;31;;;0;0,00;8;0;0;0;5;4;1;4;0;23,62
"0001";4;3;1;33;4;11;;;0;6,00;8;0;0;0;3;1;1;1;2;23,62
"0001";5;3;2;28;5;16;;;0;19,00;8;0;0;0;3;1;2;1;3;23,62
"0001";6;4;1;12;4;1;;;0;0,00;8;0;0;0;0;1;1;1;2;23,62
"0001";7;4;1;7;2;1;;;0;0,00;8;0;0;0;0;1;1;1;2;23,62
"0001";8;4;1;6;2;1;;;0;0,00;8;0;0;0;0;1;1;1;2;23,62
"0001";9;4;1;5;12;37;;;0;0,00;8;0;0;0;0;4;1;4;0;23,62
"0001";10;4;1;3;0;0;;;0;0,00;8;0;0;0;0;;;;;23,62
"0004";1;1;2;46;7;16;;;0;14,00;8;0;0;0;5;1;1;1;2;128,31
"0004";2;3;2;18;8;2;16;;0;14,00;8;0;0;0;5;1;2;1;2;128,31
"0006";1;1;2;46;3;16;31;;0;19,00;8;0;0;0;5;1;1;1;2;384,12
"0006";2;3;2;14;4;1;;;0;0,00;8;0;0;0;0;1;1;1;2;384,12
"0008";1;3;2;68;2;31;;;0;0,00;8;0;0;0;5;4;1;4;0;56,84
"0008";2;1;2;84;3;31;;;0;0,00;8;0;0;0;5;4;1;4;0;56,84
"0009";1;1;1;58;5;17;;;0;19,00;8;0;0;0;3;1;1;1;2;100,65
"0009";2;2;2;54;4;16;;;0;19,00;8;0;0;0;5;1;1;1;2;100,65
"0009";3;3;2;18;8;2;;;0;0,00;8;0;0;0;5;1;1;1;4;100,65
"0010";1;1;2;71;4;31;;;0;0,00;8;0;0;0;5;4;1;4;0;52,06
"0010";2;3;2;39;5;19;;;0;19,00;8;0;0;0;3;1;1;1;2;52,06
"0010";3;4;1;21;5;16;;;0;3,00;8;0;0;0;3;1;1;1;2;52,06
"0012";1;3;2;43;5;31;33;;0;0,00;8;0;0;0;5;1;1;1;2;86,08
"0012";2;1;1;80;2;32;;;0;0,00;1;0;10;0;5;4;1;4;0;86,08
"0012";3;2;2;73;2;31;;;0;0,00;8;0;0;0;5;4;1;4;0;86,08
"0012";4;3;2;47;5;16;;;0;14,00;8;0;0;0;5;1;2;1;2;86,08
"0012";5;4;1;24;4;37;;;0;0,00;8;0;0;0;5;1;1;3;99;86,08
"0012";6;4;1;14;2;1;;;0;0,00;8;0;0;0;5;3;1;4;0;86,08
