"FORMULARIO";"C_002";"C_003";"C_004";"C_005";"C_006";"C_007";"C_008";"C_009";"F_EXP"
"0001";1;4;1;"66170";2006;1;1;0,00;23,62
"0001";2;4;1;"66001";2008;1;1;0,00;23,62
"0009";1;4;1;"66001";2012;1;2;30000,00;100,65
"0010";1;4;1;"66001";9999;1;1;0,00;52,06
"0010";2;4;1;"66001";9999;1;1;0,00;52,06
"0014";1;4;1;"66001";9999;1;1;0,00;52,06
"0016";1;1;1;"66001";2011;1;2;80000,00;66,88
"0016";2;4;1;"66001";2014;1;2;0,00;66,88
"0020";1;1;1;"66001";2014;1;1;0,00;47,35
"0022";1;1;1;"66001";1992;1;3;50000,00;83,84
"0027";1;1;1;"76001";2015;1;2;45000,00;136,89
"0033";1;4;1;"66001";2016;1;3;23000,00;19,31
"0038";1;1;1;"66001";2014;1;1;0,00;38,88
"0038";2;1;1;"66001";1995;1;1;0,00;38,88
"0038";3;4;1;"66001";2016;1;1;0,00;38,88
"0039";1;4;1;"66001";2014;1;1;0,00;238,83
"0040";1;4;1;"66682";2010;1;1;0,00;32,48
"0042";1;4;1;"05129";2016;1;1;0,00;16,59
"0043";1;2;1;"66001";1996;1;2;60000,00;71,65
"0043";2;4;1;"66001";2016;1;1;0,00;71,65
"0043";3;4;1;"66001";2016;1;1;0,00;71,65
"0043";4;6;1;"66001";1978;1;1;60000,00;71,65
"0046";1;4;1;;9999;1;1;0,00;174,87
"0046";2;4;1;"66001";9999;1;1;0,00;174,87
"0047";1;1;1;;2008;1;4;0,00;17,22
"0047";2;4;1;"66400";2006;1;1;0,00;17,22
"0048";1;1;1;"11001";2012;1;1;0,00;58,71
"0049";1;4;1;;9999;1;1;0,00;24,06
"0051";1;1;1;"76001";1990;1;4;0,00;29,76
"0053";1;4;1;"66001";2015;1;3;25000,00;58,71
"0058";1;4;1;"66001";2012;1;1;0,00;33,13
"0061";1;1;1;;9999;1;2;0,00;308,09
"0067";1;1;1;;1997;1;1;0,00;70,56
"0067";2;4;1;"66001";2016;1;1;0,00;70,56
"0068";1;1;1;"66001";1977;1;3;70000,00;255,18
"0069";1;4;1;"66001";2007;1;1;0,00;70,56
"0071";1;1;1;"66001";1995;1;3;60000,00;86,69
"0073";1;4;1;"66001";9999;1;3;0,00;16,16
"0076";1;1;1;"76001";9999;1;2;100000,00;114,22
"0076";2;4;1;"66001";9999;1;2;80000,00;114,22
"0083";1;1;1;"66001";2014;1;2;75000,00;230,23
"0088";1;1;1;"11001";2012;1;2;0,00;151,07
"0088";2;1;1;"05129";2014;1;2;0,00;151,07
"0088";3;4;1;"66001";1993;1;2;0,00;151,07
"0089";1;2;1;"66400";1988;1;2;80000,00;452,67
"0090";1;1;1;"66001";2013;1;3;60000,00;77,01
"0098";1;4;1;"17001";1999;1;1;0,00;37,03
