"FORMULARIO";"B_001";"D_003";"D_004";"D_005";"D_006";"D_006_A";"ZAT_O";"D_007";"D_008";"D_009_HH";"D_009_MM";"D_009_A";"D_010_NO";"D_010L";"D_010M";"D_010Mc";"D_010J";"D_010V";"D_010S";"D_010D";"D_010_Ocasional";"D_011A";"D_011B";"D_011C";"D_012";"F_EXP"
"0001";1;;;3/5/2017 0:00:00;1;;;;;10;0;"A.M.";1;0;0;0;0;0;0;0;0;2;2;2;"VUELTAS A SALUD,CAFESAUD PARA AUTORIZAR,VOLVER A AUDIFARMA,MULTIDROGAS AV 30 DE AGOSTO, HOGAR2";23,62
"0001";2;;;3/5/2017 0:00:00;1;;;;;7;0;"A.M.";0;1;1;1;1;1;1;1;0;2;1;2;"TRABAJO,CASA";23,62
"0001";4;;;3/5/2017 0:00:00;1;;;;;6;30;"A.M.";1;0;0;0;0;0;0;0;0;2;12;2;"TRABAJO,CASA";23,62
"0001";5;;;3/5/2017 0:00:00;1;;;;;7;0;"A.M.";0;1;1;1;0;1;1;1;0;1;6;1;"TRABAJO,VUELTAS,HOGAR";23,62
"0001";6;;;4/5/2017 0:00:00;1;;;;;12;30;"P.M.";1;0;0;0;0;0;0;0;0;2;2;2;"ESTUDIO,HOGAR";23,62
"0001";7;;;4/5/2017 0:00:00;1;;;;;12;30;"P.M.";1;0;0;0;0;0;0;0;0;2;2;2;"ESTUDIO,HOGAR";23,62
"0001";8;;;4/5/2017 0:00:00;1;;;;;12;30;"P.M.";1;0;0;0;0;0;0;0;0;2;2;2;"ESTUDIO, HOGAR";23,62
"0004";1;;;3/5/2017 0:00:00;1;;;;;7;30;"A.M.";1;0;0;0;0;0;0;0;0;2;2;2;"trabajo,hogar";128,31
"0004";2;;;3/5/2017 0:00:00;1;;;;;7;30;"A.M.";0;0;0;0;0;0;0;0;0;2;2;2;"trabajo hogar";128,31
"0006";1;;;4/5/2017 0:00:00;1;;;;;6;20;"A.M.";1;0;0;0;0;0;0;0;0;2;2;2;"TRABAJO,CASA";384,12
"0006";2;;;4/5/2017 0:00:00;1;;;;;6;15;"A.M.";1;0;0;0;0;0;0;0;0;2;2;8;"COLEGIO, CASA";384,12
"0009";1;;;5/5/2017 0:00:00;1;;;;;6;30;"A.M.";0;1;1;1;1;1;1;1;0;2;1;2;"trabajo,hogar";100,65
"0009";2;;;5/5/2017 0:00:00;1;;;;;8;0;"A.M.";0;1;1;1;1;1;0;0;0;2;2;2;"trabajo,hogar";100,65
