"FORMULARIO";"INGRESOS";"F_EXP"
"0001";3;23,62
"0004";2;128,31
"0006";2;384,12
"0008";1;56,84
"0009";3;100,65
"0010";2;52,06
"0012";2;86,08
"0014";10;52,06
"0016";6;66,88
"0018";3;520,00
"0020";3;47,35
"0021";1;199,29
"0022";4;83,84
"0023";10;164,74
"0024";10;103,12
"0026";10;228,79
"0027";1;136,89
"0028";1;16,76
"0029";1;158,07
"0030";1;226,68
"0031";2;44,36
"0032";10;158,07
"0033";2;19,31
"0035";2;9,77
"0036";3;149,23
"0038";2;38,88
"0039";10;238,83
"0040";10;32,48
"0041";1;51,97
"0042";2;16,59
"0043";3;71,65
"0046";1;174,87
"0047";6;17,22
"0048";1;58,71
"0049";1;24,06
"0051";2;29,76
"0053";7;58,71
"0054";1;51,97
"0055";1;17,22
"0056";1;62,68
"0057";2;49,11
"0058";1;33,13
"0059";1;143,18
"0060";1;25,18
"0061";2;308,09
"0062";1;66,48
"0063";2;300,52
"0065";10;247,16
"0067";2;70,56
"0068";2;255,18
"0069";1;70,56
"0070";1;28,33
"0071";1;86,69
"0073";6;16,16
"0074";2;111,29
"0075";1;17,50
"0076";2;114,22
"0079";1;188,52
"0080";1;29,76
"0083";6;230,23
"0084";10;26,20
"0085";1;90,74
"0086";3;145,31
"0088";9;151,07
"0089";10;452,67
"0090";10;77,01
"0091";1;104,20
"0092";10;83,27
"0094";1;21,42
"0095";5;170,16
"0096";1;12,29
"0097";3;12,29
"0098";1;37,03
"0099";2;43,77
"0100";10;50,79
"0102";4;67,69
"0103";1;74,07
"0104";3;46,65
"0105";10;27,36
"0106";1;174,97
"0107";1;50,26
"0110";2;146,37
"0112";2;53,47
"0113";1;810,00
"0114";1;50,26
"0116";2;33,13
"0117";1;38,95
"0118";3;33,13
"0119";2;59,30
"0120";2;88,84
"0121";5;110,15
"0123";2;96,91
"0124";3;72,66
"0125";1;68,15
"0127";4;154,18
"0128";7;111,41
"0129";5;142,31
"0131";5;21,20
"0132";4;35,49
"0133";2;51,88
"0135";3;103,34
"0136";1;12,25
"0137";5;255,18
"0138";2;24,06
"0139";5;79,87
"0140";2;12,25
"0141";2;251,10
"0143";6;45,21
"0144";3;14,82
"0145";4;41,48
"0147";2;94,06
"0148";2;85,83
"0149";3;172,84
"0150";2;289,99
"0153";1;135,78
"0155";2;66,17
"0159";1;131,61
"0160";1;66,17
"0161";2;46,60
"0162";1;79,93
"0163";10;434,34
"0164";2;64,52
"0165";6;97,91
"0166";10;65,94
"0168";2;77,35
"0169";2;64,81
"0172";2;145,79
"0174";2;109,11
"0175";1;44,75
"0178";2;53,93
"0179";2;154,76
"0181";1;115,62
"0182";1;130,73
"0183";2;89,92
"0184";2;14,52
"0185";2;172,57
"0186";2;158,21
"0187";2;62,57
"0189";2;58,37
"0190";2;323,65
"0191";1;81,09
"0192";1;234,71
"0193";2;24,62
"0194";3;145,29
"0195";1;45,82
"0196";3;200,27
"0198";6;760,00
"0199";10;54,53
"0200";1;59,08
"0201";2;85,97
"0202";4;95,44
"0204";1;31,19
"0205";1;42,38
"0207";2;42,38
"0210";2;39,84
"0211";1;13,52
"0213";1;17,18
"0214";1;27,50
"0215";2;136,90
"0216";5;25,44
"0220";1;55,21
"0222";1;11,10
"0223";1;37,55
"0224";10;25,30
"0226";10;81,93
"0228";10;43,74
"0229";1;11,85
"0231";3;29,24
"0232";2;33,13
"0233";2;49,88
"0234";3;46,40
"0236";1;35,07
"0237";2;122,62
"0238";3;538,57
"0240";3;53,36
"0241";2;50,66
"0243";2;74,37
"0244";3;122,82
"0246";2;69,29
"0247";5;50,66
"0248";2;58,67
"0251";2;33,13
"0252";1;26,38
"0253";3;174,87
"0254";2;38,95
"0255";2;25,18
"0256";4;14,37
"0258";1;77,56
"0259";1;20,85
"0260";3;46,27
"0261";2;105,51
"0262";10;96,40
"0263";10;87,28
"0265";2;23,60
"0267";10;188,72
"0270";10;20,03
"0271";2;38,00
"0273";1;38,00
"0274";10;60,98
"0275";7;21,23
"0276";6;12,29
"0277";1;46,63
"0278";5;58,02
"0280";10;25,99
"0281";4;24,06
"0282";4;37,97
"0283";3;13,26
"0284";3;13,12
"0285";2;89,28
"0286";10;89,28
"0288";3;12,79
"0289";1;12,25
"0290";2;18,14
"0291";2;83,05
"0292";1;93,02
"0293";2;16,37
"0294";2;52,68
"0295";1;92,26
"0299";2;104,95
"0300";4;31,39
"0304";2;81,45
"0305";10;34,47
"0306";2;34,47
"0307";1;76,09
"0308";5;24,96
"0310";10;86,54
"0311";2;64,47
"0313";2;170,15
"0314";3;142,68
"0315";2;107,44
"0319";1;81,29
"0321";1;34,61
"0325";1;67,61
"0326";10;70,69
"0327";2;17,75
"0328";3;17,37
"0331";1;259,90
"0332";1;77,56
"0333";1;56,40
"0334";1;22,20
"0337";1;22,20
"0339";1;60,73
"0340";1;16,97
"0343";10;28,97
"0344";10;44,70
"0345";10;23,22
"0346";10;28,05
"0348";10;23,36
"0349";9;19,11
"0350";2;50,87
"0351";2;57,11
"0352";2;37,59
"0354";2;113,95
"0355";1;58,65
"0358";1;82,11
"0362";4;13,76
"0365";10;13,41
"0366";3;230,11
"0367";5;7,90
"0369";10;7,90
"0370";10;26,44
"0372";2;25,17
"0373";1;23,69
"0378";1;28,81
"0379";1;12,61
"0381";10;58,67
"0383";1;54,67
"0384";1;55,49
"0385";1;43,65
"0386";1;50,87
"0387";2;48,90
"0388";1;64,59
"0389";3;45,61
"0390";3;59,00
"0391";2;37,97
"0394";1;26,22
"0395";10;21,66
"0397";1;122,13
"0398";1;25,71
"0399";10;17,10
"0401";3;45,95
"0402";1;10,11
"0403";1;31,85
"0405";1;46,33
"0407";2;53,54
